s,x,y,heading
0.00000000,-1.32571616,1.71356986,-0.98975033
0.01476611,-1.31753506,1.70116269,-0.98594884
0.02953222,-1.30930628,1.68878599,-0.98214546
0.04429833,-1.30103037,1.67644013,-0.97837271
0.05906445,-1.29270838,1.66412578,-0.97463144
0.07383056,-1.28434096,1.65184337,-0.97089236
0.08859667,-1.27592761,1.63959259,-0.96712511
0.10336278,-1.26746759,1.62737295,-0.96335105
0.11812889,-1.25896132,1.61518473,-0.95960505
0.13289500,-1.25040982,1.60302856,-0.95589101
0.14766111,-1.24181385,1.59090491,-0.95218382
0.16242723,-1.23317304,1.57881358,-0.94845067
0.17719334,-1.22448658,1.56675403,-0.94470659
0.19195945,-1.21575476,1.55472645,-0.94098667
0.20672556,-1.20697856,1.54273145,-0.93729752
0.22149167,-1.19815878,1.53076954,-0.93361901
0.23625778,-1.18929523,1.51884059,-0.92991790
0.25102389,-1.18038704,1.50694407,-0.92620274
0.26579001,-1.17143436,1.49508007,-0.92250757
0.28055612,-1.16243814,1.48324916,-0.91884151
0.29532223,-1.15339921,1.47145188,-0.91518900
0.31008834,-1.14431752,1.45968820,-0.91151769
0.32485445,-1.13519219,1.44795757,-0.90783018
0.33962056,-1.12602326,1.43626000,-0.90415839
0.35438667,-1.11681159,1.42459603,-0.90051368
0.36915279,-1.10755805,1.41296622,-0.89688451
0.38391890,-1.09826273,1.40137061,-0.89324056
0.39868501,-1.08892477,1.38980868,-0.88957924
0.41345112,-1.07954407,1.37828035,-0.88592945
0.42821723,-1.07012142,1.36678613,-0.88230435
0.44298334,-1.06065772,1.35532657,-0.87869591
0.45774946,-1.05115316,1.34390182,-0.87507671
0.47251557,-1.04160695,1.33251135,-0.87143993
0.48728168,-1.03201886,1.32115503,-0.86781068
0.50204779,-1.02238960,1.30983331,-0.86420350
0.51681390,-1.01272007,1.29854676,-0.86061324
0.53158001,-1.00301058,1.28729560,-0.85701603
0.54634612,-0.99326040,1.27607934,-0.85340189
0.56111224,-0.98346920,1.26489777,-0.84979169
0.57587835,-0.97363759,1.25375130,-0.84620071
0.59064446,-0.96376647,1.24264050,-0.84262617
0.60541057,-0.95385623,1.23156565,-0.83904808
0.62017668,-0.94390627,1.22052633,-0.83545446
0.63494279,-0.93391613,1.20952224,-0.83186174
0.64970890,-0.92388633,1.19855374,-0.82828524
0.66447502,-0.91381774,1.18762142,-0.82472402
0.67924113,-0.90371087,1.17672561,-0.82116209
0.69400724,-0.89356519,1.16586595,-0.81758663
0.70877335,-0.88338017,1.15504208,-0.81400970
0.72353946,-0.87315623,1.14425430,-0.81044593
0.73830557,-0.86289422,1.13350319,-0.80689575
0.75307168,-0.85259471,1.12278915,-0.80334695
0.76783780,-0.84225729,1.11211190,-0.79978705
0.78260391,-0.83188136,1.10147100,-0.79622412
0.79737002,-0.82146724,1.09086668,-0.79267128
0.81213613,-0.81101574,1.08029955,-0.78912990
0.82690224,-0.80052749,1.06977004,-0.78559120
0.84166835,-0.79000221,1.05927796,-0.78204403
0.85643446,-0.77943923,1.04882281,-0.77849313
0.87120058,-0.76883879,1.03840476,-0.77494940
0.88596669,-0.75820164,1.02802440,-0.77141464
0.90073280,-0.74752846,1.01768222,-0.76788300
0.91549891,-0.73681909,1.00737811,-0.76434554
0.93026502,-0.72607285,0.99711153,-0.76080452
0.94503113,-0.71528985,0.98688258,-0.75726799
0.95979724,-0.70447080,0.97669183,-0.75373770
0.97456336,-0.69361641,0.96653982,-0.75021012
0.98932947,-0.68272665,0.95642654,-0.74667919
1.00409558,-0.67180082,0.94635142,-0.74314566
1.01886169,-0.66083893,0.93631446,-0.73961439
1.03362780,-0.64984165,0.92631622,-0.73608641
1.04839391,-0.63880968,0.91635730,-0.73255997
1.06316002,-0.62774312,0.90643776,-0.72903221
1.07792614,-0.61664131,0.89655704,-0.72550355
1.09269225,-0.60550412,0.88671504,-0.72197547
1.10745836,-0.59433217,0.87691230,-0.71844767
1.12222447,-0.58312618,0.86714945,-0.71491951
1.13699058,-0.57188634,0.85742665,-0.71139149
1.15175669,-0.56061205,0.84774336,-0.70786480
1.16652280,-0.54930306,0.83809937,-0.70433776
1.18128892,-0.53795994,0.82849519,-0.70080798
1.19605503,-0.52658340,0.81893148,-0.69727537
1.21082114,-0.51517373,0.80940851,-0.69374358
1.22558725,-0.50373038,0.79992575,-0.69021572
1.24035336,-0.49225302,0.79048291,-0.68668743
1.25511947,-0.48074214,0.78108044,-0.68315349
1.26988558,-0.46919845,0.77171905,-0.67961378
1.28465170,-0.45762231,0.76239908,-0.67607470
1.29941781,-0.44601325,0.75312008,-0.67254232
1.31418392,-0.43437087,0.74388163,-0.66901033
1.32895003,-0.42269557,0.73468414,-0.66547001
1.34371614,-0.41098806,0.72552834,-0.66192065
1.35848225,-0.39924874,0.71641467,-0.65837079
1.37324837,-0.38747727,0.70734275,-0.65483032
1.38801448,-0.37567315,0.69831204,-0.65129201
1.40278059,-0.36383671,0.68932291,-0.64774305
1.41754670,-0.35196863,0.68037611,-0.64418151
1.43231281,-0.34006939,0.67147216,-0.64061742
1.44707892,-0.32813873,0.66261075,-0.63706512
1.46184503,-0.31617610,0.65379128,-0.63351764
1.47661115,-0.30418173,0.64501402,-0.62995771
1.49137726,-0.29215630,0.63627975,-0.62638152
1.50614337,-0.28010034,0.62758907,-0.62279982
1.52090948,-0.26801366,0.61894177,-0.61923177
1.53567559,-0.25589569,0.61033716,-0.61567201
1.55044170,-0.24374658,0.60177543,-0.61209871
1.56520781,-0.23156698,0.59325737,-0.60850537
1.57997393,-0.21935744,0.58478366,-0.60490276
1.59474004,-0.20711788,0.57635419,-0.60131492
1.60950615,-0.19484773,0.56796823,-0.59773951
1.62427226,-0.18254702,0.55962585,-0.59415032
1.63903837,-0.17021637,0.55132784,-0.59053733
1.65380448,-0.15785638,0.54307496,-0.58691062
1.66857059,-0.14546707,0.53486722,-0.58329883
1.68333671,-0.13304783,0.52670386,-0.57970409
1.69810282,-0.12059864,0.51858481,-0.57609638
1.71286893,-0.10812007,0.51051086,-0.57246118
1.72763504,-0.09561274,0.50248285,-0.56880728
1.74240115,-0.08307676,0.49450091,-0.56516730
1.75716726,-0.07051156,0.48656427,-0.56154926
1.77193337,-0.05791699,0.47867272,-0.55792021
1.78669949,-0.04529360,0.47082703,-0.55426020
1.80146560,-0.03264204,0.46302811,-0.55057611
1.81623171,-0.01996248,0.45527624,-0.54690367
1.83099782,-0.00725441,0.44757062,-0.54325803
1.84576393,0.00548242,0.43991094,-0.53960466
1.86053004,0.01824752,0.43229791,-0.53591716
1.87529615,0.03104022,0.42473251,-0.53219996
1.89006227,0.04386025,0.41721514,-0.52849078
1.90482838,0.05670808,0.40974508,-0.52481298
1.91959449,0.06958406,0.40232184,-0.52113204
1.93436060,0.08248774,0.39494607,-0.51741430
1.94912671,0.09541845,0.38761882,-0.51366111
1.96389282,0.10837582,0.38034064,-0.50991096
1.97865893,0.12136029,0.37311086,-0.50619618
1.99342505,0.13437226,0.36592884,-0.50248414
